city_name,graph_area,n,m,k_avg,intersection_count,streets_per_node_avg,edge_length_total,edge_length_avg,street_length_total,street_length_avg,street_segments_count,node_density_km,intersection_density_km,edge_density_km,street_density_km,circuity_avg,self_loop_proportion,clean_intersection_count,clean_intersection_density_km,avg_neighbor_degree_avg,avg_weighted_neighbor_degree_avg,degree_centrality_avg,clustering_coefficient_avg,clustering_coefficient_weighted_avg,pagerank_max_node,pagerank_max,pagerank_min_node,pagerank_min,pos,hours_congestion,year_change,cost,inner_time,inner_mile_speed
beijing,19780168707.915337,57596,137875,4.7876588651989715,48950,2.9412632821723728,45826288.94500064,332.3756224478741,28151349.898999576,332.13796808560335,84758,2.91180529602622,2.4747008340940946,2316.7794785624124,1423.2108084970166,1.09309105447,0.002067089755213055,,,2.6242194398420677,0.02368157359743306,8.312629334489872e-05,0.04524706576845607,0.00021193388137835182,4256148391,8.200485841213298e-05,530731546,2.6304569965956813e-06,,,,,,
karachi,4573389939.585521,57600,159385,5.534201388888889,51763,3.0108854166666665,18870342.136000536,118.39471804749843,10802524.203999914,124.57072584699732,86718,12.594596297472112,11.31830014142446,4126.117034689311,2362.038738594621,1.04051196809,0.00033880227123004046,,,2.9600306712964195,0.045303827478166005,9.608155330622854e-05,0.023729166666666187,0.00010325488081856058,733864160,8.638277828673759e-05,292559434,2.6139243109474563e-06,,,,,,
dhaka,1838136014.0651655,14212,37431,5.267520405291303,11314,2.6844919786096257,5858021.571999977,156.50187203120345,2963955.0410000025,157.28071323958622,18845,7.73174557881012,6.15514842940175,3186.935856310521,1612.4786296118589,1.1039248963600001,0.00032058988538911595,,,2.897863308002645,0.03537012058814296,0.0003706650063535939,0.039637864715263836,0.0006772637266176061,5068406008,0.00024392198996458443,2606773547,1.05967829634501e-05,,,,,,
lagos,4697954779.261097,82204,205955,5.010826723760402,63898,2.625249379592234,25075552.782000355,121.75258081619944,13286926.730999894,123.19820798330922,107850,17.49782700397325,13.601237773099642,5337.546647467791,2828.2364039889057,1.049670899,0.0017091112136146244,,,2.8320432501261883,0.035182927873666024,6.09567378776538e-05,0.032206056477382755,0.00019174161179481378,1472573892,4.68856937338981e-05,4007045558,1.8260016015174973e-06,,,,,,
guangzhou,9435282464.343102,44223,96059,4.3443004771272875,37948,2.894444067566651,25942772.11300036,270.07122823473446,17481168.071999907,273.22436460824156,63981,4.686982098005359,4.021925166883913,2749.549068725897,1852.744540299989,1.09626810649,0.0015823608407332993,,,2.3642994972449767,0.029310155232363036,9.823844414833183e-05,0.05715642474342676,0.0002721431244298595,2127725213,0.00010884666525017588,1338311645,3.4587537843804236e-06,,,,,,
tianjin,14854617885.801825,40245,95878,4.764716113802957,33492,2.9696359796247984,34265949.27099977,357.39115616721006,22571867.41700012,378.3227027973806,59663,2.7092585153918045,2.254652408932845,2306.754002992663,1519.5185490819326,1.04687273454,0.000730094495087507,,,2.6697250176004723,0.0241437624015039,0.00011839568914133125,0.03330671068278232,0.00031886453429823286,4138099734,0.00013883773207366224,1933899930,3.800731298485746e-06,,,,,,
mumbai,593387120.6511759,21789,54878,5.037220615907108,17646,2.7855798797558395,6496225.2750001075,118.37576578957157,3715904.044000017,122.3101294888258,30381,36.71970496442359,29.737753628079236,10947.701844069732,6262.191939592873,1.0733687652600001,0.0018951127956558184,,,2.8007243716248964,0.039924318624353576,0.00023119242775411074,0.03890189239218629,0.00047630362667527577,620389508,0.00020806032779009933,2231177362,6.889143524266248e-06,,,,,,
moscow,1405463573.3604126,16689,34994,4.1936604949367835,15476,3.024986518065792,8022613.079000024,229.2568177116084,5468038.888000048,218.2065879723871,25059,11.874373919273625,11.01131348640893,5708.1615141531165,3890.558952677915,1.06042638268,0.0008572898211121906,,,2.205120139013717,0.02476209362253341,0.00025129796829674047,0.08527373319751325,0.0008867198468227586,100012502,0.0003356393965624011,31448152,9.087506258472074e-06,1 (1),210 (10),-12%,-,5,11
baoding,25880460778.28956,21083,56320,5.3426931651093295,17722,2.9063226296067923,29160713.99800001,517.7683593394889,16792824.360999998,550.2596618716822,30518,0.8146300091258798,0.6847636968993427,1126.7463221698965,648.8611043234229,1.07069082942,0.0002130681818181818,,,2.9513209695015954,0.026779544085447048,0.00025342439830700617,0.031146737497826087,0.0001906837579328869,5739608201,0.00020994677206849093,4907643972,7.208147081011063e-06,,,,,,
delhi,1832875392.7990925,112091,294279,5.250715936159014,89891,2.761524118796335,25699974.20600105,87.33200196412605,14089603.65700008,91.1164088971958,154633,61.155821306989786,49.043704963883094,14021.670162068734,7687.158500984082,1.0483585475,0.0009616724265068184,,,2.946480389445392,0.055651559277563975,4.684374998812026e-05,0.024168543330653252,0.000284174525040414,3013078430,3.592329069850471e-05,851689232,1.3397181698222187e-06,,,,,,
