city_name;graph_area;n;m;k_avg;intersection_count;streets_per_node_avg;edge_length_total;edge_length_avg;street_length_total;street_length_avg;street_segments_count;node_density_km;intersection_density_km;edge_density_km;street_density_km;circuity_avg;self_loop_proportion;clean_intersection_count;clean_intersection_density_km;avg_neighbor_degree_avg;avg_weighted_neighbor_degree_avg;degree_centrality_avg;clustering_coefficient_avg;clustering_coefficient_weighted_avg;pagerank_max_node;pagerank_max;pagerank_min_node;pagerank_min
"""Berlin, Germany""";1126811850.99867;28574;74344;5.203611674949254;25169;3.00332470077693;10675170.266999952;143.59155099268202;6140689.15500004;143.19969112914603;42882;25.3582707482846;22.33647079385368;9473.782386596991;5449.613570852734;1.04143194289;0.0023942752609491013;;;2.8081618487669413;0.05158196827445103;0.0001821163922215767;0.05050395464408105;0.0006157183484151909;26804478;0.00016968656288192467;12696810;5.263500415170543e-06
"""Delhi, India""";1832875392.7990923;112070;294232;5.250861068974748;89873;2.7614169715356476;25696275.951001074;87.33338301408777;14087006.582000082;91.11964878168735;154599;61.1443638996382;49.0338843290103;14019.652428067559;7685.741560688958;1.04837225024;0.0009686233992223823;;;2.946494155438476;0.05565353004951634;4.685382281428477e-05;0.02416771830531145;0.0002844449208832171;3013078430;3.5929932240803766e-05;851689232;1.339960511681178e-06
"""Shanghai, China""";10544048633.934902;48106;118735;4.936390471043113;40316;2.994387394503804;39322452.849999875;331.17827809828503;24636330.3819999;342.1189871269653;72011;4.562384115450297;3.8235787219576385;3729.350481507144;2336.5152454542445;1.04216420865;0.0009011664631321851;;;2.7431072354106507;0.021796115946370133;0.0001026169934734813;0.03360218406574283;0.0003138051388183168;616791932;9.321784723921215e-05;86798357;3.152149748880468e-06
"""Santiago, Chile""";26684993.59332777;2266;4350;3.8393645189761694;2124;3.3627537511032655;433024.3399999992;99.54582528735614;381855.3409999987;102.07306629243483;3741;84.91664021109541;79.59529735585465;16227.260407072807;14309.74077863285;1.00844237971;0.0004597701149425287;;;1.9712783171521029;0.028448118423203654;0.0016950836728371619;0.021785819358634897;0.0007528164955514961;370189635;0.0017833870472081337;16106543;6.775098824545447e-05
"""Lima, Peru""";37746771.596246704;2517;5661;4.498212157330155;2411;3.2193087008343264;519266.01300000155;91.72690567037654;371737.86000000074;94.39762823768429;3938;66.68119930686402;63.87301212906203;13756.56754316001;9848.202754297641;1.01897311508;0.004946122593181417;;;2.3124420606542184;0.039855401196844095;0.0017878426698450663;0.03749172295060252;0.0011746863636356239;525867127;0.0013642616606824593;31035159;6.151819021336774e-05
"""Tel Aviv , Israel""";68506830.37546015;6498;12599;3.8778085564789166;5702;2.96968297937827;1053513.7249999992;83.61883681244537;806949.7150000012;84.10106461698814;9595;94.85185585710079;83.23257650002904;15378.228991563132;11779.113273485484;1.04673756394;0.0021430272243828877;;;2.091643582640813;0.04588142662326585;0.0005968614062612281;0.08136716059153638;0.0016539875703284008;286643432;0.0007909317232531569;312110963;2.341491801496154e-05
"""Manila, Philippines""";52807885.46840091;5430;14877;5.479558011049724;4898;3.1626151012891346;1285339.779999999;86.39778046649184;752181.6530000003;88.21175712442832;8527;102.82555250672162;92.7512994802804;24339.92136968102;14243.73739505418;1.02521735652;0.0;;;2.944122160834883;0.046480850462432076;0.0010093125826210459;0.03629834254143656;0.0018006089506839964;5877668579;0.0007210161440685206;26647647;2.7751905204229694e-05
"""Miami, United States""";172499885.8161478;7716;21651;5.611975116640746;7180;3.2808449974079834;2523648.5959999943;116.56037116068515;1468250.9209999975;117.45067762578974;12501;44.730464391285416;41.623215957676166;14629.856617352927;8511.605176161536;1.02137196312;0.00036949794466768277;;;2.9811538793848253;0.03662204140242555;0.0007274109029994709;0.034110321163198454;0.0010369681802862348;99055363;0.000537709342814702;98990356;1.9617275840223644e-05
"""Melbourne, Australia""";51593188.29725476;3560;7124;4.002247191011236;3354;3.2247191011235956;589384.0499999988;82.73217995508124;463495.55800000095;82.28218675661299;5633;69.0013569134169;65.00858176617986;11423.679548630636;8983.657984646457;1.03709908441;0.0011229646266142617;;;2.0792602996254668;0.0599255727460763;0.001124542621807061;0.05783440342429119;0.0013193986583127494;29897221;0.0015549139273357436;26033782;4.324175370376468e-05
"""Buenos Aires, Argentina""";212606002.28584096;17438;37010;4.244752838628283;16994;3.5549374928317468;3957635.2189999893;106.93421288840825;3349554.099999992;108.49109606788859;30874;82.02026195175453;79.93189193761421;18614.879996092932;15754.748520677416;1.0127504144;0.0005403944879762226;;;2.176434606415116;0.029091679969576262;0.00024343366626302607;0.03813729184757986;0.0007278036227019389;89251145;0.00027044532814878827;224201140;8.654649647081666e-06
"""Porto Alegre, Brazil""";600741384.3351938;17694;43377;4.903017972193964;15048;2.9416186277834293;5128107.623000039;118.22181393365237;3046207.614999979;117.08077542470515;26018;29.45360592991432;25.049048379866097;8536.29824200479;5070.747070923111;1.04143843743;0.000829932913756138;;;2.7014524697638054;0.03744234224915193;0.0002771162590965131;0.039489845898798594;0.0006478596263107498;297234267;0.0002160596849493504;293815452;8.507607657773653e-06
"""Barcelona, Spain""";119295735.09253468;8801;16673;3.78888762640609;8138;3.1607771844108625;1704560.991999995;102.23481029208871;1383152.7679999976;100.09065547434675;13819;73.77464075453568;68.21702379961496;14288.532533688738;11594.318664679178;1.06424439959;0.0007197265039285072;;;1.947083664735072;0.038528812208245465;0.0004305554120916025;0.044718403211755894;0.0008562136648685998;4541533775;0.0006490759358925005;21638865;1.7521766756149445e-05
"""San Francisco, United States""";151072342.86137494;9409;26419;5.615687108088001;8588;3.3056647890317783;3122942.179999991;118.20819031757412;1846785.9379999842;118.97094234361813;15523;62.281419760821244;56.846937284082564;20671.83258596595;12224.513786051548;1.0325639555;0.0010976948408342481;;;2.9997626386084004;0.03678374772558844;0.0005969055174412442;0.04752744332933451;0.0010577562943287126;4070801144;0.0004609957369237814;65282380;1.6034342810139524e-05
